MLS_Num,Address,City,Original_Price,List_Date,Days_On_Market,Living_SQFT,Status,List_Price,Land_SQFT,Type,Closing_Date,Sold_Price,Zip
402399,303 Waipalani Rd,Haiku,2195000,45442,104,2764,PNDS,1950000,89603,SFD,,,96708
403313,4345 Waha Pl,Haiku,1950000,45532,14,2184,ACT,1950000,87947,SFD,,,96708
399740,12 Coral Pl,Lahaina,1975000,45180,44,2298,SLD,1975000,7026,SF,45224,1950000,96761
399614,1200 Ehu Rd,Makawao,2199000,45161,189,2584,SLD,1999000,100841,SF,45350,1960000,96768
401842,72 Kahana Ridge Dr,Lahaina,2249000,45397,149,2330,ACT,1975000,6599,SF,,,96761-8300
401955,2255 LILIKOI Rd,Haiku,2200000,45407,139,997,ACT,1975000,166399,SF,,,96708
401700,43 Kapalulu Pl,Kula,1995000,45383,119,2570,SLD,1995000,10350,SF,45502,1975000,96790
402789,965 Hog Back Rd,Haiku,1975000,45455,91,3136,PNDS,1975000,250470,SF,,,96708
402561,31 Waikalani Hema Pl,Kihei,1995000,45456,90,1818,ACT,1995000,7501,SHO,,,96753
399950,140 Waikoloa Rd,Hana,2495000,45205,341,2513,ACT,1995000,30056,SF,,,96713
401035,1400 Hana Hwy,Hana,2200000,45322,224,944,ACT,1995000,3999244,SF,,,96713
403353,239 Kawaipuna Pl,Wailuku,1995000,45538,8,2596,PNDNS,1995000,8019,SFD,,,96793
402892,287 Hekuawa St,Haiku,2200000,45488,58,1000,ACT,1995000,88514,SF,,,96708
399580,357 Kualono Pl,Kihei,2675000,45154,134,1991,SLD,2599000,10289,SF,45288,1995000,96753
402097,4800 Pohakuloa Rd,Maunaloa,1997000,45420,126,3514,ACT,1997000,217974,SF,,,96770
399164,3 Bermuda Pl,Lahaina,1998000,45096,91,2706,SLD,1998000,8359,SF,45187,1998000,96761
402626,2755 Panepoo St,Kihei,2200000,45462,84,2336,ACT,1998000,8581,SF,,,96753
403228,139 Mehani Pl,Kihei,1999000,45524,22,3981,ACT,1999000,7566,SF,,,96753
401522,738 Awalau Rd,Haiku,1999000,45366,180,716,ACT,1999000,91912,SF,,,96708
399966,8 BERMUDA Pl,Lahaina,2250000,45208,115,2529,SLD,2150000,8163,SF,45323,1999216,96761
400885,85 Kepola Pl,Lahaina,2149000,45307,49,3174,SLD,2149000,7732,SF,45356,2000000,96761
402298,3969 Lepo St,Haiku,1995000,45435,36,2611,SLD,1995000,87251,SF,45471,2000000,96708
395877,2547 Mokuhau Rd,Wailuku,2200000,44701,503,2265,SLD,2200000,136169,SF,45204,2000000,96793
400809,172 Paia Pohaku Pl,Lahaina,2200000,45300,127,1008,SLD,2200000,87120,SF,45427,2000000,96761
400930,54 Aekai Pl,Lahaina,2250000,45313,233,1896,PNDS,2000000,9714,SF,,,96761
402971,41 Poha Pl,Makawao,1999000,45496,35,2734,SLD,1999000,88383,SF,45531,2009000,96768
399098,108 Waimele Pl,Kula,1950000,45089,95,1671,SLD,1950000,21854,SF,45184,2020000,96790
400740,34 Kaui Pl,Kula,2299000,45293,147,2448,SLD,2199000,21824,SFD,45440,2073000,96790
402241,272 Huahua St,Kula,2199000,45430,116,998,ACT,2099999,144184,SF,,,96790
401839,83 Kulalani Dr,Kula,2100000,45397,30,2330,SLD,2100000,19737,SFD,45427,2100000,96790
401778,30 Kaikane Pl,Kihei,2050000,45391,70,3280,SLD,2050000,10001,SFD,45461,2100000,96753
400558,61 Naniuka Pl,Makawao,2300000,45275,75,2505,SLD,2300000,104544,SF,45350,2100000,96768-7259
401504,63 Laukahi St,Kihei,2400000,45365,141,2456,SLD,2195000,8708,SF,45506,2100000,96753
403312,46070 Hana Hwy,Hana,2115000,45532,14,1474,ACT,2115000,66647,SF,,,96713
402592,698 Kaupakalua Rd,Haiku,2200000,45457,89,2076,ACT,2124000,110207,SFD,,,96708
399444,2841 UMALU Pl,Kihei,2499000,45132,414,2800,ACT,2125000,7928,SF,,,96753
402382,71 Hoohale St,Kihei,2200000,45441,105,2102,ACT,2149000,7540,SF,,,96753
402827,2612 Pololei Pl,Haiku,2000000,45481,50,1480,SLD,2000000,98751,SFD,45531,2150000,96708
396926,40 Huina Pl,Kula,3200000,44817,406,3700,SLD,2495000,22913,SHO,45223,2150000,96790-8600
398249,9 Kili Nahe St,Lahaina,2800000,44985,248,1869,SLD,2300000,7501,SFD,45233,2150000,96761
401849,135 Makana Rd,Makawao,2600000,45397,126,3696,SLD,2398000,263538,SFD,45523,2160000,96768
401642,110 Cooke Rd,Kula,2800000,45377,169,2045,ACT,2180000,113909,SF,,,96790
401481,71 Lahaole Pl,Wailuku,2250000,45363,183,2030,ACT,2195000,103107,SF,,,96793
403230,484 Hoala Dr,Kihei,2195000,45524,22,2160,ACT,2195000,21780,SF,,,96753
401266,65 Moana Ave,Kihei,2200000,45344,46,2168,SLD,2200000,7610,SF,45390,2200000,96753
402587,156 Hui Rd F Rd,Lahaina,2300000,45457,89,2427,ACT,2200000,10010,SHO,,,96761
402798,4087 N Paua Way,Lahaina,2300000,45478,68,2502,ACT,2200000,8032,SF,,,96761
400518,3467 Malina Pl,Kihei,2200000,45272,64,1929,SLD,2200000,25744,SFD,45336,2200000,96753
400606,4670 Pohakuloa Rd,Maunaloa,2300000,45279,248,2528,SLD,2300000,262536,SF,45527,2200000,96770
399334,31 Iliahi Way,Lahaina,2400000,45117,80,997,SLD,2400000,88950,SF,45197,2200000,96761
397959,99 Laukahi St,Kihei,2400000,44951,260,2707,SLD,2325000,7540,SF,45211,2210000,96753
401679,2852 Puu Hoolai St,Kihei,2295000,45381,48,3408,SLD,2295000,8751,SF,45429,2230000,96753
402269,21 Kai Pl,Paia,2300000,45433,113,1942,PNDS,2249999,11687,SFD,,,96779
402979,47 Hua Nui Way,Lahaina,2300000,45497,49,2292,PNDS,2250000,6896,SF,,,96761
397629,81 S Piki Pl,Lahaina,2595000,44910,291,2512,SLD,2395000,12053,SF,45201,2250000,96761-0000
399963,13434 Kula Hwy,Kula,2499000,45208,175,2478,SLD,2499000,313763,SFD,45383,2250000,96790
401681,4510 Waha Pl,Haiku,2475000,45380,166,2985,ACT,2250000,88906,SF,,,96708
